,Model,First Half,Second Half,IS,FID
0,models/right.pth,1,9,1.8805371364302712,602.0307479274313
1,models/right.pth,1,1,2.1842618945964674,813.8255107381583
2,models/right.pth,9,1,2.088733842439581,766.1403047836002
3,models/right.pth,9,9,1.8399345149921629,578.8756953192562
4,models/both.pth,1,9,2.017723645332661,383.59999237871193
5,models/both.pth,1,1,2.1857721432845336,405.0495272919088
6,models/both.pth,9,1,2.003181457563238,407.3801454594769
7,models/both.pth,9,9,1.899866652923011,421.39977468159003
8,models/left.pth,1,9,2.2227306055877274,863.2298976355527
9,models/left.pth,1,1,2.2119679672110992,1049.4449687358656
10,models/left.pth,9,1,2.1302830879842656,1015.1540539739931
11,models/left.pth,9,9,2.0991243663083927,768.1731090616756
12,models/none.pth,1,9,1.998137921725664,270.51413241462296
13,models/none.pth,1,1,2.0977719822744274,342.8167223095498
14,models/none.pth,9,1,2.029206079241267,353.56726766057955
15,models/none.pth,9,9,1.9973152571576613,242.2843115777464
